710,-420,-646,142,382,336,-130,-88,-112
839,-480,-698,184,403,366,-130,-88,-112
920,-515,-735,219,449,405,-127,-90,-112
924,-467,-744,241,508,472,-127,-90,-112
821,-410,-709,259,507,492,-127,-90,-112
658,-361,-641,279,490,494,-125,-87,-115
502,-256,-578,278,457,487,-125,-87,-115
404,-117,-536,250,418,474,-125,-87,-115
329,8,-497,242,380,454,-125,-81,-118
263,128,-456,217,324,432,-125,-81,-118
260,235,-425,179,285,415,-125,-81,-118
314,281,-406,118,236,381,-125,-81,-118
387,242,-387,109,233,384,-124,-82,-114
458,138,-357,126,262,410,-124,-82,-114
467,34,-309,163,301,461,-124,-82,-114
390,-39,-229,188,314,482,-122,-80,-113
240,-77,-127,220,317,509,-122,-80,-113
36,-66,-16,250,310,531,-122,-80,-113
-198,6,99,298,329,573,-125,-79,-114
-492,152,224,295,290,544,-125,-79,-114
-842,366,331,253,191,486,-125,-79,-114
-1080,551,374,192,107,425,-125,-79,-114
-1125,638,348,81,-10,302,-126,-75,-113
-1040,611,274,29,-40,272,-126,-75,-113
-875,416,193,14,-15,291,-126,-75,-113
-750,108,154,52,54,318,-129,-71,-111
-790,-151,169,166,77,357,-129,-71,-111
-900,-274,218,219,86,371,-129,-71,-111
-999,-248,283,238,92,365,-130,-72,-114
-1099,-183,370,230,114,359,-130,-72,-114
-1205,-164,486,243,109,344,-130,-72,-114
-1300,-142,616,243,90,310,-135,-69,-117
-1330,-87,727,214,70,267,-135,-69,-117
-1278,-69,800,151,71,233,-135,-69,-117
-1178,-129,847,127,91,232,-135,-69,-117
-1081,-255,893,107,115,240,-141,-66,-116
-1018,-429,948,101,143,243,-141,-66,-116
-985,-587,990,181,172,270,-141,-66,-116
-943,-595,1000,186,183,264,-146,-62,-120
-884,-475,970,167,190,263,-146,-62,-120
-825,-363,922,127,228,275,-146,-62,-120
-794,-315,868,113,245,269,-154,-56,-121
-805,-328,816,110,263,268,-154,-56,-121
-842,-378,780,120,276,267,-154,-56,-121
-882,-404,775,153,258,256,-154,-56,-121
-888,-365,790,134,246,248,-159,-52,-121
-838,-316,801,113,270,251,-159,-52,-121
-800,-313,794,114,297,265,-159,-52,-121
-813,-322,776,135,299,248,-163,-51,-123
-842,-271,753,109,276,219,-163,-51,-123
-833,-214,720,86,248,189,-163,-51,-123
-749,-198,671,70,224,174,-169,-42,-126
-595,-234,618,53,214,149,-169,-42,-126
-404,-313,584,76,206,168,-169,-42,-126
-175,-355,579,96,214,179,-169,-42,-126
73,-324,573,157,290,259,-169,-39,-127
282,-194,553,154,343,299,-169,-39,-127
363,-29,529,127,372,318,-169,-39,-127
316,70,502,96,385,339,-177,-32,-126
194,106,473,38,379,325,-177,-32,-126
10,112,416,16,297,278,-177,-32,-126
-95,109,305,26,233,242,-175,-28,-122
-27,158,155,45,224,222,-175,-28,-122
565,649,-334,252,922,-450,-175,-28,-122
1776,1813,-1789,344,1107,116,-184,-27,-118
1561,2199,-2712,371,944,796,-184,-27,-118
596,683,-1847,1045,1144,1375,-184,-27,-118
-790,749,-535,123,197,336,-184,-27,-118
